timestamp,source_ip,destination_ip,protocol,port,packet_size,flag,label
2024-01-06 00:02:55+00:00,192.168.1.88,198.51.100.55,TCP,443,8047,PSH,data_exfiltration
2024-01-01 00:58:50+00:00,192.168.1.44,10.0.0.1,HTTPS,80,953,ACK,benign
2024-01-04 00:00:01.300000+00:00,210.49.146.7,192.168.1.100,UDP,80,62,UDP_FLOOD,ddos
2024-01-02 00:04:05+00:00,45.33.3.3,192.168.1.20,TCP,22,206,login_failed,brute_force
2024-01-03 00:02:29.500000+00:00,198.51.100.7,192.168.1.1,TCP,836,73,SYN,scan
2024-01-03 00:02:21.500000+00:00,198.51.100.7,192.168.1.1,TCP,856,48,SYN,scan
2024-01-02 00:04:38+00:00,45.33.4.1,192.168.1.20,TCP,22,225,failed,brute_force
2024-01-05 01:21:00+00:00,192.168.1.66,185.220.101.5,TCP,8443,247,ACK,c2
2024-01-01 00:10:50+00:00,192.168.1.42,10.0.0.6,TCP,53,1107,FIN,benign
2024-01-04 00:00:00.300000+00:00,178.212.252.16,192.168.1.100,UDP,80,69,SYN,ddos
2024-01-01 00:09:20+00:00,192.168.1.47,10.0.0.4,UDP,80,917,SYN-ACK,benign
2024-01-03 00:02:31+00:00,203.0.113.5,192.168.1.1,TCP,898,71,SYN,scan
2024-01-03 00:01:04+00:00,198.51.100.7,192.168.1.1,TCP,845,71,SYN,scan
2024-01-01 01:37:20+00:00,192.168.1.23,10.0.0.6,TCP,53,1208,ACK,benign
2024-01-01 01:02:20+00:00,192.168.1.18,10.0.0.7,TCP,80,1246,ACK,benign
2024-01-01 00:45:50+00:00,192.168.1.49,10.0.0.11,TCP,443,1170,SYN-ACK,benign
2024-01-02 00:01:26+00:00,45.33.1.3,192.168.1.10,TCP,22,177,auth_fail,brute_force
2024-01-01 00:21:20+00:00,192.168.1.22,10.0.0.2,TCP,8080,1248,SYN-ACK,benign
2024-01-04 00:00:32.600000+00:00,148.82.129.30,192.168.1.100,UDP,443,52,SYN,ddos
2024-01-06 00:02:15+00:00,192.168.1.88,198.51.100.55,TCP,443,7816,ACK,data_exfiltration
2024-01-02 00:00:14+00:00,45.33.4.4,192.168.1.10,TCP,22,220,failed,brute_force
2024-01-05 00:14:00+00:00,192.168.1.55,185.220.101.5,TCP,1337,262,PSH,c2
2024-01-06 00:13:00+00:00,192.168.1.88,203.0.113.99,TCP,8443,9000,ACK,data_exfiltration
2024-01-03 00:00:46.500000+00:00,203.0.113.5,192.168.1.1,TCP,698,56,SYN,scan
2024-01-06 00:08:05+00:00,192.168.1.88,203.0.113.99,TCP,443,8645,PSH,data_exfiltration
2024-01-01 00:16:30+00:00,192.168.1.24,10.0.0.19,HTTPS,80,978,FIN,benign
2024-01-03 00:01:34.500000+00:00,203.0.113.5,192.168.1.1,TCP,837,63,SYN,scan
2024-01-02 00:05:04+00:00,45.33.2.1,192.168.1.10,TCP,22,209,failed,brute_force
2024-01-02 00:02:12+00:00,45.33.4.4,192.168.1.20,TCP,22,202,failed,brute_force
2024-01-01 00:04:50+00:00,192.168.1.49,10.0.0.11,TCP,80,1346,ACK,benign
